2025/03/28 15:55:42.050934 compute.go:273: New connection from 172.17.149.42:45808
2025/03/28 15:55:42.051082 compute.go:156: Accepted, new commitment: 0.1
2025/03/28 15:55:44.052874 compute.go:156: Accepted, new commitment: 0.2
2025/03/28 15:55:46.054454 compute.go:156: Accepted, new commitment: 0.3
2025/03/28 15:55:48.057264 compute.go:156: Accepted, new commitment: 0.4
2025/03/28 15:55:50.059242 compute.go:156: Accepted, new commitment: 0.5
2025/03/28 15:55:52.061304 compute.go:156: Accepted, new commitment: 0.5
2025/03/28 15:55:54.063496 compute.go:156: Accepted, new commitment: 0.5
2025/03/28 15:55:56.065151 compute.go:156: Accepted, new commitment: 0.5
2025/03/28 15:55:58.066751 compute.go:156: Accepted, new commitment: 0.5
2025/03/28 15:56:00.068119 compute.go:156: Accepted, new commitment: 0.5
2025/03/28 15:56:02.070492 compute.go:156: Accepted, new commitment: 0.5
2025/03/28 15:56:04.072801 compute.go:156: Accepted, new commitment: 0.5
2025/03/28 15:56:06.075068 compute.go:156: Accepted, new commitment: 0.5
2025/03/28 15:56:08.076431 compute.go:156: Accepted, new commitment: 0.5
2025/03/28 15:56:10.078857 compute.go:156: Accepted, new commitment: 0.5
2025/03/28 15:56:12.081033 compute.go:156: Accepted, new commitment: 0.5
2025/03/28 15:56:14.082638 compute.go:156: Accepted, new commitment: 0.5
2025/03/28 15:56:16.085267 compute.go:156: Accepted, new commitment: 0.6
2025/03/28 15:56:18.087796 compute.go:156: Accepted, new commitment: 0.70000005
2025/03/28 15:56:20.090201 compute.go:156: Accepted, new commitment: 0.8000001
2025/03/28 15:56:22.096206 compute.go:156: Accepted, new commitment: 0.9000001
2025/03/28 15:56:24.098209 compute.go:156: Accepted, new commitment: 1
2025/03/28 15:56:26.100681 compute.go:156: Accepted, new commitment: 1
2025/03/28 15:56:28.103090 compute.go:156: Accepted, new commitment: 1
2025/03/28 15:56:30.104664 compute.go:156: Accepted, new commitment: 1
2025/03/28 15:56:32.106316 compute.go:156: Accepted, new commitment: 1
2025/03/28 15:56:34.108445 compute.go:156: Accepted, new commitment: 1
2025/03/28 15:56:36.110348 compute.go:156: Accepted, new commitment: 1
2025/03/28 15:56:38.112862 compute.go:156: Accepted, new commitment: 1
2025/03/28 15:56:40.115430 compute.go:156: Accepted, new commitment: 1
2025/03/28 15:56:42.117617 compute.go:156: Accepted, new commitment: 1
2025/03/28 15:56:44.119419 compute.go:156: Accepted, new commitment: 1
2025/03/28 15:56:46.121689 compute.go:156: Accepted, new commitment: 1
2025/03/28 15:56:48.123937 compute.go:156: Accepted, new commitment: 1
2025/03/28 15:56:50.126070 compute.go:156: Accepted, new commitment: 1
2025/03/28 15:56:52.127615 compute.go:156: Accepted, new commitment: 1
2025/03/28 15:56:54.129735 compute.go:156: Accepted, new commitment: 1
2025/03/28 15:56:56.131878 compute.go:156: Accepted, new commitment: 1
2025/03/28 15:56:58.133842 compute.go:156: Accepted, new commitment: 1
2025/03/28 15:57:00.135733 compute.go:156: Accepted, new commitment: 1
2025/03/28 15:57:02.137285 compute.go:156: Accepted, new commitment: 1
