2025/03/28 16:28:24.912149 compute.go:273: New connection from 172.17.149.42:48848
2025/03/28 16:28:24.912667 compute.go:156: Accepted, new commitment: 0.1
2025/03/28 16:28:26.919465 compute.go:156: Accepted, new commitment: 0.2
2025/03/28 16:28:28.926093 compute.go:156: Accepted, new commitment: 0.3
2025/03/28 16:28:30.934045 compute.go:156: Accepted, new commitment: 0.4
2025/03/28 16:28:32.939949 compute.go:156: Accepted, new commitment: 0.5
2025/03/28 16:28:34.942252 compute.go:156: Accepted, new commitment: 0.5
2025/03/28 16:28:50.972473 compute.go:156: Accepted, new commitment: 0.6
2025/03/28 16:28:52.979973 compute.go:156: Accepted, new commitment: 0.70000005
2025/03/28 16:28:54.987558 compute.go:156: Accepted, new commitment: 0.70000005
2025/03/28 16:28:56.995247 compute.go:156: Accepted, new commitment: 0.70000005
2025/03/28 16:28:58.999354 compute.go:156: Accepted, new commitment: 0.70000005
2025/03/28 16:29:01.003127 compute.go:156: Accepted, new commitment: 0.70000005
2025/03/28 16:29:03.007455 compute.go:156: Accepted, new commitment: 0.70000005
2025/03/28 16:29:05.011003 compute.go:156: Accepted, new commitment: 0.70000005
2025/03/28 16:29:07.014924 compute.go:156: Accepted, new commitment: 0.70000005
2025/03/28 16:29:09.020464 compute.go:156: Accepted, new commitment: 0.70000005
2025/03/28 16:29:11.024051 compute.go:156: Accepted, new commitment: 0.70000005
2025/03/28 16:29:13.028276 compute.go:156: Accepted, new commitment: 0.70000005
2025/03/28 16:29:15.031743 compute.go:156: Accepted, new commitment: 0.70000005
2025/03/28 16:29:17.037875 compute.go:156: Accepted, new commitment: 0.70000005
2025/03/28 16:29:19.039765 compute.go:156: Accepted, new commitment: 0.70000005
2025/03/28 16:29:21.042870 compute.go:156: Accepted, new commitment: 0.70000005
